utc_time	profile	phase	t_ready_ms	t_content_ms	t_settled_ms	stalls_over_4ms	max_stall_ms	probe_ticks	objects_at_ready	objects_settled	layout_attached	objects_built	chain_tags	information_tiles
2026-08-20T08:07:45Z	whale-8a-2000g-500c	cold	35.72	39.22	90.15	7	8.88	40	916	916	107	809	4	2
2026-08-20T08:07:45Z	whale-8a-2000g-500c	warm	29.60	31.13	132.76	2	6.86	94	916	917	108	809	4	2
2026-08-20T08:07:47Z	whale-8a-2000g-500c	cold	40.35	43.60	94.11	6	9.66	43	917	917	108	809	4	2
2026-08-20T08:07:47Z	whale-8a-2000g-500c	warm	47.09	47.45	148.45	5	7.09	97	915	916	107	809	4	2
2026-08-20T08:07:48Z	whale-8a-2000g-500c	cold	39.11	42.28	92.76	6	10.49	44	917	917	108	809	4	2
2026-08-20T08:07:48Z	whale-8a-2000g-500c	warm	38.92	40.94	92.14	3	7.93	59	916	916	107	809	4	2
2026-08-20T08:07:50Z	whale-8a-2000g-500c	cold	37.97	41.67	92.93	4	9.46	42	916	916	107	809	4	2
2026-08-20T08:07:50Z	whale-8a-2000g-500c	warm	22.69	22.94	125.16	3	5.63	87	913	916	107	809	4	2
2026-08-20T08:07:51Z	whale-8a-2000g-500c	cold	35.67	38.29	88.81	7	8.38	38	916	916	107	809	4	2
2026-08-20T08:07:51Z	whale-8a-2000g-500c	warm	32.09	32.40	134.19	5	6.87	91	912	916	107	809	4	2
2026-08-20T08:07:53Z	whale-8a-2000g-500c	cold	36.06	37.22	137.97	6	11.19	75	914	916	107	809	4	2
2026-08-20T08:07:53Z	whale-8a-2000g-500c	warm	21.89	22.11	124.15	2	4.86	90	913	916	107	809	4	2
2026-08-20T08:07:54Z	whale-8a-2000g-500c	cold	37.75	40.80	91.63	6	8.84	43	917	917	108	809	4	2
2026-08-20T08:07:54Z	whale-8a-2000g-500c	warm	34.51	34.84	137.58	2	7.32	91	915	916	107	809	4	2
2026-08-20T08:07:56Z	whale-8a-2000g-500c	cold	34.70	37.56	88.51	6	11.08	39	917	917	108	809	4	2
2026-08-20T08:07:56Z	whale-8a-2000g-500c	warm	24.48	24.81	126.56	3	5.49	86	913	916	107	809	4	2
2026-08-20T08:07:57Z	whale-8a-2000g-500c	cold	35.51	36.62	140.01	8	10.30	75	914	916	107	809	4	2
2026-08-20T08:07:57Z	whale-8a-2000g-500c	warm	29.70	31.91	82.70	1	4.25	54	916	916	107	809	4	2
2026-08-20T08:07:59Z	whale-8a-2000g-500c	cold	40.50	43.66	94.09	3	9.74	43	916	916	107	809	4	2
2026-08-20T08:07:59Z	whale-8a-2000g-500c	warm	22.07	22.34	126.22	1	6.59	90	915	916	107	809	4	2
2026-08-20T08:08:00Z	whale-8a-2000g-500c	cold	37.05	40.39	91.01	7	9.50	40	916	916	107	809	4	2
2026-08-20T08:08:00Z	whale-8a-2000g-500c	warm	22.14	22.39	125.23	2	5.48	90	914	917	108	809	4	2
2026-08-20T08:08:02Z	whale-8a-2000g-500c	cold	34.44	37.66	89.50	7	12.97	37	916	916	107	809	4	2
2026-08-20T08:08:02Z	whale-8a-2000g-500c	warm	23.41	23.65	125.23	2	6.06	89	913	916	107	809	4	2
2026-08-20T08:08:03Z	whale-8a-2000g-500c	cold	39.14	40.24	142.08	4	8.22	81	912	916	107	809	4	2
2026-08-20T08:08:03Z	whale-8a-2000g-500c	warm	31.33	32.69	135.24	2	8.11	94	915	916	107	809	4	2
2026-08-20T08:08:05Z	whale-8a-2000g-500c	cold	37.90	41.55	94.03	3	9.15	44	916	916	107	809	4	2
