utc_time	profile	phase	t_skeleton_ms	t_ready_ms	t_content_ms	t_first_asset_row_ms	stalls_over_4ms	stalls_over_8ms	max_stall_ms	probe_ticks	objects_total	account_delegates	asset_delegates	loading_asset_delegates	objects_settled	asset_delegates_settled	account_delegates_settled
2026-08-19T17:12:03Z	whale-8a-2000g-500c	warm	4.37	92.68	93.29	129.01	9	-	28.61	128	4220	8	0	0	8491	26	-
2026-08-19T18:18:01Z	whale-8a-2000g-500c	cold	180.47	499.55	500.20	548.20	10	-	342.38	158	4220	8	0	0	8491	26	-
2026-08-19T18:18:01Z	whale-8a-2000g-500c	warm	3.84	77.16	77.79	116.50	6	-	30.03	118	4349	8	0	0	8491	26	-
2026-08-19T18:24:58Z	whale-8a-2000g-500c	cold	187.80	494.33	495.01	541.74	10	-	349.27	124	4191	8	0	0	8373	26	-
2026-08-19T18:24:58Z	whale-8a-2000g-500c	warm	7.25	80.61	81.26	121.14	7	-	32.37	100	4320	8	0	0	8373	26	-
2026-08-19T18:25:11Z	whale-8a-2000g-500c	cold	177.73	495.93	496.56	542.48	8	-	337.57	140	4191	8	0	0	8373	26	-
2026-08-19T18:25:11Z	whale-8a-2000g-500c	warm	10.74	119.25	120.34	160.75	9	-	32.10	115	4191	8	0	0	8373	26	-
2026-08-19T18:25:28Z	whale-8a-2000g-500c	cold	192.46	500.73	501.36	550.93	10	-	353.02	130	4191	8	0	0	8373	26	-
2026-08-19T18:25:28Z	whale-8a-2000g-500c	warm	7.92	81.09	81.72	118.72	8	-	29.61	101	4320	8	0	0	8373	26	-
2026-08-19T18:25:38Z	whale-8a-2000g-500c	cold	179.29	468.07	468.67	515.52	8	-	340.12	113	4191	8	0	0	8373	26	-
2026-08-19T18:25:38Z	whale-8a-2000g-500c	warm	12.44	102.79	103.51	140.45	8	-	29.26	111	4320	8	0	0	8373	26	-
2026-08-19T18:25:46Z	whale-8a-2000g-500c	cold	177.55	480.27	480.84	525.74	9	-	338.31	127	4191	8	0	0	8373	26	-
2026-08-19T18:25:46Z	whale-8a-2000g-500c	warm	5.50	79.54	80.19	118.64	8	-	30.85	95	4191	8	0	0	8373	26	-
2026-08-19T18:25:53Z	whale-8a-2000g-500c	cold	179.54	488.27	488.85	536.88	8	-	339.36	135	4191	8	0	0	8373	26	-
2026-08-19T18:25:53Z	whale-8a-2000g-500c	warm	4.49	77.45	78.05	114.36	7	-	28.91	100	4320	8	0	0	8373	26	-
2026-08-19T18:40:38Z	whale-8a-2000g-500c	cold	191.58	521.23	521.88	565.08	9	-	357.32	155	3999	8	0	0	7365	26	-
2026-08-19T18:40:38Z	whale-8a-2000g-500c	warm	10.48	100.02	100.53	132.55	9	-	25.17	123	3999	8	0	0	7365	26	-
2026-08-19T18:54:12Z	whale-8a-2000g-500c	cold	210.26	547.70	548.53	601.09	9	-	377.52	132	3999	8	0	0	7365	26	-
2026-08-19T18:54:12Z	whale-8a-2000g-500c	warm	14.84	104.56	105.14	141.42	8	-	29.09	103	3999	8	0	0	7365	26	-
2026-08-19T18:54:24Z	whale-8a-2000g-500c	cold	196.78	551.52	552.17	602.68	9	-	370.32	153	3999	8	0	0	7365	26	-
2026-08-19T18:54:24Z	whale-8a-2000g-500c	warm	9.37	83.94	84.66	123.20	8	-	31.29	98	3999	8	0	0	7365	26	-
2026-08-19T18:54:32Z	whale-8a-2000g-500c	cold	213.82	546.86	547.42	587.67	9	-	379.90	150	3999	8	0	0	7365	26	-
2026-08-19T18:54:32Z	whale-8a-2000g-500c	warm	9.92	117.03	117.76	153.73	10	-	28.58	117	3999	8	0	0	7365	26	-
2026-08-19T18:54:39Z	whale-8a-2000g-500c	cold	222.84	560.77	561.38	602.78	9	-	395.60	148	3999	8	0	0	7365	26	-
2026-08-19T18:54:39Z	whale-8a-2000g-500c	warm	5.18	79.76	80.28	115.17	8	-	27.80	97	3999	8	0	0	7365	26	-
2026-08-19T19:02:50Z	whale-8a-2000g-500c	cold	177.00	486.22	486.83	527.88	9	-	333.90	137	3999	8	0	0	7365	26	-
2026-08-19T19:02:50Z	whale-8a-2000g-500c	warm	7.77	80.60	81.21	114.18	7	-	24.63	98	3999	8	0	0	7365	26	-
2026-08-19T19:05:07Z	whale-8a-2000g-500c	cold	176.92	472.36	472.99	513.14	7	-	342.65	111	4191	8	0	0	8373	26	-
2026-08-19T19:05:07Z	whale-8a-2000g-500c	warm	9.61	115.29	116.06	156.25	10	-	31.30	114	4191	8	0	0	8373	26	-
2026-08-19T19:12:32Z	whale-8a-2000g-500c	cold	181.58	485.36	485.94	526.35	9	-	341.21	130	3999	8	0	0	7365	26	-
2026-08-19T19:12:32Z	whale-8a-2000g-500c	warm	6.82	80.49	81.11	115.64	7	-	26.30	98	3999	8	0	0	7365	26	-
2026-08-19T19:54:16Z	whale-8a-2000g-500c	cold	177.25	574.58	574.94	595.20	12	3	339.24	266	2813	8	0	0	6022	26	-
2026-08-19T19:54:16Z	whale-8a-2000g-500c	warm	12.72	120.07	120.60	140.28	14	3	13.07	175	2813	8	0	0	6022	26	-
2026-08-19T19:55:05Z	whale-8a-2000g-500c	cold	179.16	479.43	479.78	497.50	12	3	339.38	188	2813	8	0	0	6022	26	-
2026-08-19T19:55:05Z	whale-8a-2000g-500c	warm	12.93	99.65	99.96	120.56	11	3	13.26	172	2813	8	0	0	6022	26	-
2026-08-19T19:55:06Z	whale-8a-2000g-500c	cold	182.90	482.15	482.51	500.84	12	3	344.04	187	2813	8	0	0	6022	26	-
2026-08-19T19:55:06Z	whale-8a-2000g-500c	warm	4.92	110.29	110.74	128.56	13	2	11.31	174	2813	8	0	0	6022	26	-
2026-08-19T19:55:08Z	whale-8a-2000g-500c	cold	179.78	477.11	477.51	497.05	12	3	343.67	178	2813	8	0	0	6022	26	-
2026-08-19T19:55:08Z	whale-8a-2000g-500c	warm	7.25	111.58	111.99	130.73	13	3	12.19	174	2813	8	0	0	6022	26	-
2026-08-19T19:55:10Z	whale-8a-2000g-500c	cold	183.46	471.45	471.79	490.04	12	3	348.76	170	2813	8	0	0	6022	26	-
2026-08-19T19:55:10Z	whale-8a-2000g-500c	warm	3.19	73.68	74.06	93.51	9	2	10.21	161	2942	8	0	0	6022	26	-
2026-08-19T19:55:11Z	whale-8a-2000g-500c	cold	189.32	466.39	466.75	485.65	12	3	350.20	163	2813	8	0	0	6022	26	-
2026-08-19T19:55:11Z	whale-8a-2000g-500c	warm	3.39	125.19	125.87	148.37	15	2	14.91	183	2813	8	0	0	6022	26	-
2026-08-19T19:55:13Z	whale-8a-2000g-500c	cold	189.87	490.46	490.85	527.06	13	3	356.90	189	2813	8	0	0	6022	26	-
2026-08-19T19:55:13Z	whale-8a-2000g-500c	warm	3.67	92.15	92.58	111.04	11	1	8.92	172	2942	8	0	0	6022	26	-
2026-08-19T19:55:15Z	whale-8a-2000g-500c	cold	175.61	451.26	451.59	471.22	13	3	334.67	163	2813	8	0	0	6022	26	-
2026-08-19T19:55:15Z	whale-8a-2000g-500c	warm	3.26	76.80	77.41	99.39	11	2	14.81	153	2942	8	0	0	6022	26	-
2026-08-19T19:55:16Z	whale-8a-2000g-500c	cold	180.81	478.43	478.76	496.73	12	3	339.91	184	2813	8	0	0	6022	26	-
2026-08-19T19:55:16Z	whale-8a-2000g-500c	warm	3.72	110.42	110.94	130.89	13	2	12.71	177	2813	8	0	0	6022	26	-
2026-08-19T19:56:51Z	whale-8a-2000g-500c	cold	179.96	454.10	454.45	473.05	12	3	340.15	161	2813	8	0	0	6022	26	-
2026-08-19T19:56:51Z	whale-8a-2000g-500c	warm	6.79	114.28	114.79	134.08	14	2	12.33	172	2813	8	0	0	6022	26	-
2026-08-19T19:56:52Z	whale-8a-2000g-500c	cold	183.50	483.54	483.90	502.17	12	3	342.23	191	2813	8	0	0	6022	26	-
2026-08-19T19:56:52Z	whale-8a-2000g-500c	warm	3.16	76.69	77.02	92.92	10	2	10.31	159	2813	8	0	0	6022	26	-
2026-08-19T19:56:54Z	whale-8a-2000g-500c	cold	202.43	507.61	507.97	526.82	14	3	371.01	174	2813	8	0	0	6022	26	-
2026-08-19T19:56:54Z	whale-8a-2000g-500c	warm	4.08	94.24	94.66	112.32	13	2	11.00	169	2813	8	0	0	6022	26	-
2026-08-19T19:56:56Z	whale-8a-2000g-500c	cold	199.27	532.24	532.66	551.81	14	3	368.19	201	2813	8	0	0	6022	26	-
2026-08-19T19:56:56Z	whale-8a-2000g-500c	warm	3.44	93.95	94.71	115.14	12	1	13.61	170	2813	8	0	0	6022	26	-
2026-08-19T19:56:58Z	whale-8a-2000g-500c	cold	189.47	489.92	490.31	512.19	13	3	355.72	181	2813	8	0	0	6022	26	-
2026-08-19T19:56:58Z	whale-8a-2000g-500c	warm	4.47	110.28	110.70	128.49	13	2	10.93	180	2813	8	0	0	6022	26	-
